date,temp,feels_like,pressure,humidity,wind_speed,wind_deg,avg_rain,avg_snow,clouds_all,total_rain,total_snow,temp_min,temp_max,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Snow,weather_Thunderstorm,weather_broken clouds,weather_few clouds,weather_fog,weather_haze,weather_heavy intensity rain,weather_heavy snow,weather_light intensity drizzle,weather_light rain,weather_light rain and snow,weather_light snow,weather_mist,weather_moderate rain,weather_overcast clouds,weather_scattered clouds,weather_sky is clear,weather_snow,weather_thunderstorm,weather_thunderstorm with heavy rain,weather_thunderstorm with light rain,weather_thunderstorm with rain,weather_very heavy rain
2014-08-29,73.85375,73.2075,1020.625,48.541666666666664,6.617916666666667,93.33333333333333,0.0,0.0,33.416666666666664,0.0,0.0,55.29,64.69,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-08-30,75.88833333333334,76.91291666666667,1022.8333333333334,63.875,6.138750000000001,150.0,0.0,0.0,75.41666666666667,0.0,0.0,64.29,69.73,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-08-31,83.23360000000001,86.57799999999999,1018.76,68.12,10.771600000000001,193.2,1.234,0.0,63.6,6.17,0.0,71.49,76.75,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
2014-09-01,81.3648148148148,85.04629629629629,1016.5185185185185,74.81481481481481,5.625185185185185,137.03703703703704,1.0642857142857143,0.0,71.88888888888889,7.449999999999999,0.0,73.29,76.75,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0
2014-09-02,84.8892,89.66959999999999,1014.2,66.16,6.4908,177.2,0.18,0.0,53.0,0.36,0.0,71.49,76.75,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2014-09-03,81.3356,83.17479999999999,1015.76,68.84,4.1436,96.0,0.7000000000000001,0.0,76.2,4.2,0.0,71.49,76.75,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
2014-09-04,80.60166666666667,82.61208333333333,1020.7083333333334,63.625,4.889166666666667,92.08333333333333,0.29,0.0,47.166666666666664,0.29,0.0,66.09,73.69,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
2014-09-05,82.46,86.31083333333333,1020.125,70.08333333333333,6.999583333333334,152.91666666666666,1.735,0.0,42.333333333333336,6.94,0.0,73.31,75.67,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2014-09-06,84.51125,89.51958333333333,1015.25,67.54166666666667,10.452916666666667,198.33333333333334,1.29,0.0,36.791666666666664,1.29,0.0,73.29,76.75,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
2014-09-07,75.9448,76.09639999999999,1017.6,63.04,9.436,245.6,1.1583333333333334,0.0,75.4,6.95,0.0,66.09,69.73,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0
2014-09-08,73.26333333333334,73.10458333333334,1022.5833333333334,59.875,9.445416666666667,83.33333333333333,0.32181818181818184,0.0,86.875,3.54,0.0,64.29,69.73,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-09-09,72.93124999999999,73.17958333333333,1021.5833333333334,69.25,10.309583333333334,40.416666666666664,0.0,0.0,88.125,0.0,0.0,66.65,69.73,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-09-10,74.69500000000001,75.25791666666667,1019.2083333333334,68.25,8.155833333333334,105.41666666666667,0.0,0.0,84.375,0.0,0.0,67.73,71.33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-09-11,78.91458333333334,80.70958333333333,1013.8333333333334,65.79166666666667,11.123750000000001,181.25,0.22666666666666666,0.0,70.83333333333333,0.6799999999999999,0.0,69.17,71.71,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-09-12,74.98625,75.29666666666667,1018.125,57.958333333333336,10.5525,267.9166666666667,0.61,0.0,66.875,1.22,0.0,62.49,66.67,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
